arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
spotdl/test/__init__.py,19,1,0,13,5,1,13
spotdl/exceptions.py,4,2,1,0,3,0,0
spotdl/__main__.py,24,6,4,13,3,4,13
spotdl/mediafile.py,28,7,7,15,0,6,15
spotdl/context.py,25,18,14,1,0,7,4
spotdl/library/exceptions.py,42,19,14,4,10,12,6
spotdl/ui/commands/list.py,25,16,14,0,3,7,1
spotdl/ui/commands/version.py,23,15,14,1,0,7,2
spotdl/util/pathformats.py,31,13,14,1,6,10,1
spotdl/ui/commands/utils.py,29,18,16,0,6,6,1
spotdl/importer/__init__.py,38,4,17,14,3,4,14
spotdl/ui/commands/help.py,23,15,18,0,0,4,1
spotdl/__init__.py,50,21,20,13,3,13,14
spotdl/util/hidden.py,62,23,21,23,3,14,24
spotdl/ui/commands/fields.py,40,22,22,1,3,13,2
spotdl/library/__init__.py,29,9,23,0,0,6,0
spotdl/dbcore/pathutils.py,53,34,31,0,0,17,5
spotdl/dbcore/__init__.py,50,6,31,13,3,3,13
spotdl/library/queries.py,58,25,31,4,9,14,4
spotdl/ui/commands/write.py,60,27,37,6,3,13,7
spotdl/util/id_extractors.py,69,17,38,24,5,12,14
spotdl/ui/commands/__init__.py,67,21,39,15,3,9,16
spotdl/util/units.py,61,38,39,1,10,10,2
spotdl/autotag/__init__.py,66,13,41,14,0,10,15
spotdl/util/m3u.py,97,47,44,15,17,18,18
spotdl/ui/commands/stats.py,62,39,46,1,0,13,3
spotdl/util/config.py,80,50,50,0,18,12,0
spotdl/ui/commands/remove.py,84,39,56,7,3,17,8
spotdl/util/deprecation.py,89,40,56,0,11,22,0
spotdl/importer/state.py,140,70,66,21,24,26,24
spotdl/util/diff.py,110,57,68,6,9,26,7
spotdl/ui/commands/config.py,97,47,70,9,3,14,10
spotdl/ui/commands/completion.py,117,58,77,11,4,26,10
spotdl/library/fields.py,103,3,102,0,0,1,0
spotdl/util/lyrics.py,163,114,105,5,14,30,14
spotdl/library/library.py,189,108,114,12,20,36,19
spotdl/logging.py,211,82,115,31,26,38,32
spotdl/ui/commands/modify.py,168,77,123,8,16,21,8
spotdl/dbcore/sort.py,225,124,126,18,24,52,23
spotdl/util/extension.py,182,69,128,22,11,20,23
spotdl/dbcore/queryparse.py,271,103,130,47,59,42,40
spotdl/ui/commands/update.py,192,91,133,31,7,22,30
spotdl/ui/commands/move.py,202,85,148,10,14,30,10
spotdl/test/_common.py,233,95,149,22,8,51,25
spotdl/util/color.py,215,75,165,23,10,19,21
spotdl/importer/session.py,309,175,176,39,39,52,42
spotdl/library/migrations.py,263,135,190,6,0,59,14
spotdl/util/layout.py,352,192,210,59,35,43,64
spotdl/importer/stages.py,402,192,211,61,46,83,62
spotdl/metadata_plugins.py,452,207,242,14,99,96,15
spotdl/util/pipeline.py,505,263,249,63,94,98,64
spotdl/ui/commands/import_/display.py,393,244,259,42,31,56,47
spotdl/dbcore/types.py,502,282,261,37,75,121,45
spotdl/ui/commands/import_/__init__.py,349,114,282,19,10,36,21
spotdl/autotag/match.py,541,277,301,62,61,103,76
spotdl/autotag/distance.py,542,304,313,59,72,91,66
spotdl/util/functemplate.py,593,323,330,65,86,108,69
spotdl/util/bluelet.py,657,397,353,54,91,143,70
spotdl/ui/commands/import_/session.py,541,263,363,53,53,71,54
spotdl/autotag/hooks.py,536,253,389,30,38,70,39
spotdl/plugins.py,700,322,391,44,121,143,45
spotdl/dbcore/query.py,932,507,512,54,151,205,64
spotdl/util/artresizer.py,857,426,555,84,76,134,92
spotdl/test/helper.py,907,496,580,36,100,186,41
spotdl/ui/__init__.py,1000,482,587,106,142,165,106
spotdl/util/__init__.py,1209,590,640,112,236,224,109
spotdl/importer/tasks.py,1284,644,746,131,204,200,134
spotdl/dbcore/db.py,1500,781,810,146,256,260,174
spotdl/library/models.py,1535,760,911,98,255,263,106
TOTAL,21067,10492,12438,1949,2750,3748,2131
